id,collective,is_filled,collection_id
65de5ade1074b2d59247fcfb,Pride of the Western Plain,False,
65fc86250634dac32b636ee8,Red Sea Rising,False,
65fcd47477cb4fd35cd0f012,Pride of A&T,False,
65fd2c65fc70857275d12b05,❖ SANIL UI ,False,
65fd41c83445af02418a4be8,Let's Go Tyges,False,
65fe1af911b1b5b2141dd66a,Pride of ODU,False,
661d063f98e4fc4199f2d6a1,605 Collective,False,
661d066d0f32ba29f2269f63,The Regiment,False,
661d06f31b1cef05969ec96e,Strive on Cats,False,
661f9ff6a89bfb379cd28df8,Pride of Omaha,False,
6622dcf93782a3181377dffd,Roll the Quad,False,
662327ce5112ac4b637ae86a,Hawk Hill Alliance,False,
66241d1a4b185dd373b21f41,Crimson and Cream,False,
662420ced784931f4846f14e,Magic City Impact,False,
66275da6ba5f7209069e47da,The Tech Way,False,
6627632632e8d89d670ab6d3,Anchor Impact,False,
662763a5e8ac1ba6d460b80b,Knights of Raritan,False,
662763fdda5b97ea66493ea5,Orange United,False,
66294c7e26250ec3a2c67e14,TIGMA,False,
66294c7ebbbf2ed08cfc41f7,Pride of Little Egypt,False,
664036de9de836b3d612da7c,Bear Pride Collective,False,
6640379d6f00347c09ac7a11,Heart of a Lope,False,
6644e551e7c65e61e1cb9dff,Lance Up Collective,False,
6644eac316ec0262357d4246,Magis Lions,False,
6644ebb76f576b9035e5a777,Rainbow Collective,False,
6644ec38bccb7fbb9e5bbac8,Raise the Riv,False,
6644ed89f038aab9da0220da,The Mission NIL ,False,
6644ee9b1589bd98e7874e90,Dragon Fire Collective,False,
6644ef847c5c8b249d67785c,Blue Hen Collective,False,
6644f045e88f030d0d5ed043,Explorers United,False,
66450b010dba5b8886665992,Fly Hawks Alliance,False,
66450b8d23b89e279c4645d3,For the Peayple,False,
66450bf8d7f54aea95d39df7,Blue & Gold Legacy,False,
66450c5fa43cb494d0fe4aa1,The Chicago Collective,False,
66450cf715a3135f53d3c1b0,Heart of A Tiger,False,
66450d5d9f64f0874187ddc0,Vikings Unite,False,
66450e0fa5486dad9a6ba0bd,Boneyard Victor E,False,
66450ea3695d5e6064dcefff,Crossroad of Champions,False,
66450f5312bdfdca00b2c21d,Dons For Fort Wayne,False,
66450ffea986830cf1d858e7,Excellence Through Service,False,
664511b0d418f3e6ce8262b5,The 13 Collective,False,
664512202f87654d01e7b2c7,Turnpike United,False,
6645129999b20dcec36decae,Goh Collective,False,
66451318e192089047e024d3,Red and Blue Collective,False,
6645138995be274a176ddfe5,RoMo Rise,False,
664514a275ba9f590ef9497d,Tupper's Kennel,False,
6645151eb9382b96682cbc4d,Old Black & Gold,False,
66451598b7694ec65a916d81,New River City Collective,False,
